path,system_scope,is_product_runtime,boundary,role,loc,functions,classes,cli_entrypoint,disposition,boundary_basis
scripts/e2e/check_external_proof_fleet_pickup_board.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,174,4,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_followup_workflow.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,125,5,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_handback_artifact.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,419,10,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_handback_bundle.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,123,6,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_handback_status_board.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,168,3,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_handback_template.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,159,4,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_issue_handback_scan.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,244,9,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_issue_sync.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,189,5,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_external_proof_live_blockers.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,159,4,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_live_e2e_gate.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,1849,44,9,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_live_production_data.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,1204,31,8,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_closeout_action.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,230,9,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_closeout_action_matrix.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,153,6,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_closeout_fleet_notification.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,132,6,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_closeout_pickup_board.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,171,3,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_closeout_queue.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,451,10,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_go_no_go.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,185,3,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
